[2023-11-19 18:29:55.383] [CUBE_ENGINE] [info] Initialized Log.
[2023-11-19 18:29:55.403] [CUBE_ENGINE] [info] Window was shown.
[2023-11-19 18:29:55.406] [CUBE_ENGINE] [info] ImGui Win32 was initialized.
[2023-11-19 18:29:55.454] [CUBE_ENGINE] [info] D3D was initialized.
[2023-11-19 18:29:55.455] [CUBE_ENGINE] [info] ImGui DX11 was initialized.
[2023-11-19 18:29:55.455] [CUBE_ENGINE] [info] Graphics was created.
[2023-11-19 18:29:55.464] [APP] [trace] Successfully loaded texture textures\skyboxmain.dds
[2023-11-19 18:29:55.487] [CUBE_ENGINE] [trace] This logged from C#
[2023-11-19 18:29:55.487] [APP] [info] Application has been set up
[2023-11-19 18:30:06.644] [APP] [trace] Successfully loaded texture textures\skyboxmain.dds
[2023-11-19 18:30:06.715] [APP] [trace] Successfully loaded texture textures\skyboxmain.dds
[2023-11-19 18:30:08.874] [APP] [info] Opened file  C:\Users\user999\Desktop\MyCubeProject\SponzaFull.cubeproj
[2023-11-19 18:30:08.928] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\..\..\source\repos\CubeEngine\x64\Release\textures\skyboxmain.dds
[2023-11-19 18:30:08.928] [APP] [trace] Loaded skybox file  C:\Users\user999\Desktop\MyCubeProject\..\..\source\repos\CubeEngine\x64\Release\textures\skyboxmain.dds
[2023-11-19 18:30:09.546] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_thorn_diff.png
[2023-11-19 18:30:09.552] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_thorn_spec.png
[2023-11-19 18:30:09.558] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_thorn_ddn.png
[2023-11-19 18:30:09.621] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\vase_plant.png
[2023-11-19 18:30:09.635] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\vase_plant_spec.png
[2023-11-19 18:30:09.658] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\vase_plant_ddn.jpg
[2023-11-19 18:30:09.672] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\vase_round.tga
[2023-11-19 18:30:09.685] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\vase_round_spec.tga
[2023-11-19 18:30:09.699] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\vase_round_ddn.tga
[2023-11-19 18:30:09.725] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\background.tga
[2023-11-19 18:30:09.741] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\background_ddn.tga
[2023-11-19 18:30:09.754] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_diff.tga
[2023-11-19 18:30:09.761] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_spec.tga
[2023-11-19 18:30:09.773] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_ddn.tga
[2023-11-19 18:30:09.781] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_diff.tga
[2023-11-19 18:30:09.786] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_spec.tga
[2023-11-19 18:30:09.794] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_ddn.tga
[2023-11-19 18:30:09.819] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:09.831] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:09.844] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:09.857] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:09.870] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_diff.tga
[2023-11-19 18:30:09.883] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_spec.tga
[2023-11-19 18:30:09.897] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_ddn.tga
[2023-11-19 18:30:09.905] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_diff.tga
[2023-11-19 18:30:09.914] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_spec.tga
[2023-11-19 18:30:09.923] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_ddn.tga
[2023-11-19 18:30:09.932] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_diff.tga
[2023-11-19 18:30:09.940] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_spec.tga
[2023-11-19 18:30:09.949] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_ddn.tga
[2023-11-19 18:30:09.958] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_diff.tga
[2023-11-19 18:30:09.967] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_spec.tga
[2023-11-19 18:30:09.976] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_ddn.tga
[2023-11-19 18:30:10.008] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_diff.tga
[2023-11-19 18:30:10.017] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_spec.tga
[2023-11-19 18:30:10.026] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_ddn.tga
[2023-11-19 18:30:10.035] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_diff.tga
[2023-11-19 18:30:10.043] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_spec.tga
[2023-11-19 18:30:10.052] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_ddn.tga
[2023-11-19 18:30:10.061] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_diff.tga
[2023-11-19 18:30:10.069] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_spec.tga
[2023-11-19 18:30:10.077] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_a_ddn.tga
